Timestamp[nanosec],fx[px],fy[px],Frame No.,Exposure time[nanosec],Sensor frame duration[nanosec],Frame readout time[nanosec],ISO,Focal length,Focus distance,AF mode
5052678628370,2836.0657,2836.0657,45484,2898550,33333333,11896875,65,6.92,0.5117707,1
5052711923109,2836.0657,2836.0657,45485,2898550,33333333,11896875,65,6.92,0.5117707,1
5052745217797,2836.0657,2836.0657,45486,2898550,33333333,11896875,65,6.92,0.5117707,1
5052778512536,2836.0657,2836.0657,45487,2898550,33333333,11896875,65,6.92,0.5117707,1
5052811807276,2836.0657,2836.0657,45488,2898550,33333333,11896875,65,6.92,0.5117707,1
5052845102016,2836.0657,2836.0657,45489,2898550,33333333,11896875,65,6.92,0.5117707,1
5052878396703,2836.0657,2836.0657,45490,2898550,33333333,11896875,65,6.92,0.5117707,1
5052911691443,2836.0657,2836.0657,45491,2898550,33333333,11896875,65,6.92,0.5117707,1
5052944986182,2836.0657,2836.0657,45492,2898550,33333333,11896875,65,6.92,0.5117707,1
5052978280922,2836.0657,2836.0657,45493,2898550,33333333,11896875,65,6.92,0.5117707,1
5053011575609,2836.0657,2836.0657,45494,2898550,33333333,11896875,65,6.92,0.5117707,1
5053044870349,2836.0657,2836.0657,45495,2898550,33333333,11896875,65,6.92,0.5117707,1
5053078165089,2836.0657,2836.0657,45496,2898550,33333333,11896875,65,6.92,0.5117707,1
5053111459828,2836.0657,2836.0657,45497,2898550,33333333,11896875,65,6.92,0.5117707,1
5053144754516,2836.0657,2836.0657,45498,2898550,33333333,11896875,65,6.92,0.5117707,1
5053178049255,2836.0657,2836.0657,45499,2898550,33333333,11896875,65,6.92,0.5117707,1
5053211343995,2836.0657,2836.0657,45500,2898550,33333333,11896875,65,6.92,0.5117707,1
5053244638734,2836.0657,2836.0657,45501,2898550,33333333,11896875,65,6.92,0.5117707,1
5053277933422,2836.0657,2836.0657,45502,2898550,33333333,11896875,65,6.92,0.5117707,1
5053311228161,2836.0657,2836.0657,45503,2898550,33333333,11896875,65,6.92,0.5117707,1
5053344522901,2836.0657,2836.0657,45504,2898550,33333333,11896875,65,6.92,0.5117707,1
5053377817641,2836.0657,2836.0657,45505,2898550,33333333,11896875,65,6.92,0.5117707,1
5053411112328,2836.0657,2836.0657,45506,2898550,33333333,11896875,65,6.92,0.5117707,1
5053444407068,2836.0657,2836.0657,45507,2898550,33333333,11896875,65,6.92,0.5117707,1
5053477701807,2836.0657,2836.0657,45508,2898550,33333333,11896875,65,6.92,0.5117707,1
5053510996547,2836.0657,2836.0657,45509,2898550,33333333,11896875,65,6.92,0.5117707,1
5053544291234,2836.0657,2836.0657,45510,2898550,33333333,11896875,65,6.92,0.5117707,1
5053577585974,2836.0657,2836.0657,45511,2898550,33333333,11896875,65,6.92,0.5117707,1
5053610880714,2836.0657,2836.0657,45512,2898550,33333333,11896875,65,6.92,0.5117707,1
5053644175453,2836.0657,2836.0657,45513,2898550,33333333,11896875,65,6.92,0.5117707,1
5053677470141,2836.0657,2836.0657,45514,2898550,33333333,11896875,65,6.92,0.5117707,1
5053710764880,2836.0657,2836.0657,45515,2898550,33333333,11896875,65,6.92,0.5117707,1
5053744059620,2836.0657,2836.0657,45516,2898550,33333333,11896875,65,6.92,0.5117707,1
5053777354359,2836.0657,2836.0657,45517,2898550,33333333,11896875,65,6.92,0.5117707,1
5053810649047,2836.0657,2836.0657,45518,2898550,33333333,11896875,65,6.92,0.5117707,1
5053843943786,2836.0657,2836.0657,45519,2898550,33333333,11896875,65,6.92,0.5117707,1
5053877238526,2836.0657,2836.0657,45520,2898550,33333333,11896875,65,6.92,0.5117707,1
5053910533266,2836.0657,2836.0657,45521,2898550,33333333,11896875,65,6.92,0.5117707,1
5053943827953,2836.0657,2836.0657,45522,2898550,33333333,11896875,65,6.92,0.5117707,1
5053977122693,2836.0657,2836.0657,45523,2898550,33333333,11896875,65,6.92,0.5117707,1
5054010417432,2836.0657,2836.0657,45524,2898550,33333333,11896875,65,6.92,0.5117707,1
5054043712172,2836.0657,2836.0657,45525,2898550,33333333,11896875,65,6.92,0.5117707,1
5054077006859,2836.0657,2836.0657,45526,2898550,33333333,11896875,65,6.92,0.5117707,1
5054110301599,2836.0657,2836.0657,45527,2898550,33333333,11896875,65,6.92,0.5117707,1
5054143596339,2836.0657,2836.0657,45528,2898550,33333333,11896875,65,6.92,0.5117707,1
5054176891078,2836.0657,2836.0657,45529,2898550,33333333,11896875,65,6.92,0.5117707,1
5054210185766,2836.0657,2836.0657,45530,2898550,33333333,11896875,65,6.92,0.5117707,1
5054243480505,2836.0657,2836.0657,45531,2898550,33333333,11896875,65,6.92,0.5117707,1
5054276775245,2836.0657,2836.0657,45532,2898550,33333333,11896875,65,6.92,0.5117707,1
5054310069984,2836.0657,2836.0657,45533,2898550,33333333,11896875,65,6.92,0.5117707,1
